0,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentTypeGroup (name),EstablishmentStatus (name),ReasonEstablishmentOpened (name),OpenDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Gender (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,MainEmail,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,Region
133791,380,Bradford,,University of Bradford,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Richmond Road,,,Bradford,West Yorkshire,BD7 1DP,https://www.brad.ac.uk,,01274232323,Professor,Shirley,Congdon,Vice-Chancellor,Yorkshire and the Humber
133792,839,"Bournemouth, Christchurch and Poole",,Bournemouth University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Poole House,Talbot Campus,Fern Barrow,Poole,Dorset,BH12 5BB,https://www.bournemouth.ac.uk,,01202524111,Professor,John,Vinney,Vice-Chancellor,South West
133793,839,"Bournemouth, Christchurch and Poole",,Arts University Bournemouth,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Wallisdown Road,,,Poole,Dorset,BH12 5HH,https://www.aub.ac.uk,hello@aub.ac.uk,01202533011,Professor,Stuart,Bartholomew,Principal and Vice-Chancellor,South West
133794,350,Bolton,,University of Bolton,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Deane Road,,,Bolton,,BL3 5AB,https://www.bolton.ac.uk,,01204528851,Professor,George,Holmes,Vice-Chancellor,North West
133795,846,Brighton and Hove,,University of Sussex,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Sussex House,Falmer,,Brighton,East Sussex,BN1 9RH,https://www.sussex.ac.uk,,01273606755,Professor,Adam,Tickell,Vice-Chancellor,South East
133796,846,Brighton and Hove,,University of Brighton,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Mithras House,Lewes Road,,Brighton,East Sussex,BN2 4AT,https://www.brighton.ac.uk,,01273600900,Professor,Debra,Humphris,Vice-Chancellor,South East
133797,203,Greenwich,,Ravensbourne,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,6 Penrose Way,,,London,,SE10 0EW,https://www.ravensbourne.ac.uk/,,02002030403500,Mr,Andy,Cook,Acting Vice-Chancellor and Chief Operating Officer,London
133798,803,South Gloucestershire,,"University of the West of England, Bristol",Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Coldharbour Lane,Frenchay,,Bristol,,BS16 1QY,https://www.uwe.ac.uk,,01179656261,Professor,Steven,West,Vice-Chancellor,South West
133799,801,"Bristol, City of",,University of Bristol,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Senate House,Tyndall Avenue,,Bristol,,BS8 1TH,https://www.bristol.ac.uk,,01179289000,Professor,Hugh,Brady,Vice-Chancellor,South West
133801,873,Cambridgeshire,,University of Cambridge,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,"Vice Chancellor's Office, University Offices",The Old Schools,,Cambridge,,CB2 1TN,http://www.cam.ac.uk/,,01223337733,Dr,Anthony,Freeling,Vice-Chancellor,East of England
133802,896,Cheshire West and Chester,,University of Chester,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Parkgate Road,,,Chester,Cheshire,CH1 4BJ,https://www1.chester.ac.uk/,,01244375444,Professor,Eunice,Simmons,Vice-Chancellor and Principal,North West
133803,881,Essex,,Anglia Ruskin University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Rivermead Campus,Bishop Hall Lane,,Chelmsford,Essex,CM1 1SQ,https://www.anglia.ac.uk,,01245493131,Professor,Roderick,Watkins,Vice-Chancellor,East of England
133804,881,Essex,,Writtle University College,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Lordship Road,,,Chelmsford,Essex,CM1 3RR,https://writtle.ac.uk,fecentral@writtle.ac.uk,01245424200,Professor,Tim,Middleton,Vice Chancellor,East of England
133805,881,Essex,,University of Essex,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Wivenhoe Park,,,Colchester,Essex,CO4 3SQ,https://www.essex.ac.uk/,,01206873333,Professor,Anthony,Forster,Vice-Chancellor,East of England
133806,886,Kent,,Canterbury Christ Church University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,North Holmes Road,,,Canterbury,Kent,CT1 1QU,https://www.canterbury.ac.uk,robin.baker@canterbury.ac.uk,01227782236,Professor,Rama,Thirunamachandran,Vice-Chancellor,South East
133807,886,Kent,,University of Kent,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,The Registry,,,Canterbury,Kent,CT2 7NZ,https://www.kent.ac.uk,,01227764000,Professor,Karen,Cox,Vice-Chancellor,South East
133808,331,Coventry,,Coventry University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Priory Street,,,Coventry,Warwickshire,CV1 5FB,https://www.coventry.ac.uk,,02476887688,Professor,John,Latham,Vice-Chancellor,West Midlands
133809,331,Coventry,,University of Warwick,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,University House,,,Coventry,West Midlands,CV4 8UW,https://www.warwick.ac.uk,,02476523523,Professor,Stuart,Croft,Vice-Chancellor and President,West Midlands
133810,303,Bexley,,Rose Bruford College,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Lamorbey Park,Burnt Oak Lane,,Sidcup,Kent,DA15 9DF,www.bruford.ac.uk,,02083003024,Ms,Clarie,Middleton,Principal and Chief Executive Officer,London
133811,831,Derby,,University of Derby,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Kedleston Road,,,Derby,Derbyshire,DE22 1GB,https://www.derby.ac.uk,,01332622222,Professor,Kathryn,Mitchell,Vice-Chancellor,East Midlands
133812,840,County Durham,,University of Durham,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,University Office,Old Evet,,Durham,,DH1 3HP,https://www.durham.ac.uk,,01913342000,Professor,Stuart,Corbridge,Vice-Chancellor and Warden,North East
133813,211,Tower Hamlets,,Queen Mary University of London,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Mile End Road,,,London,,E1 4NS,www.qmul.ac.uk,,02078825555,Professor,Colin,Bailey,Principal and President,London
133814,316,Newham,,University of East London,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,4 - 6 Universtiy Way,,,London,,E16 2RD,www.uel.ac.uk,,02082233000,Professor,Amanda,Broderick,Vice-Chancellor and President,London
133815,206,Islington,,City University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Northampton Square,,,London,,EC1V 0HB,https://www.city.ac.uk,,02074778000,Professor Sir,Paul,Curran,President,London
133816,201,City of London,,London Metropolitan University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,166 - 220 Holloway Road,,,London,,N7 8DB,https://www.londonmet.ac.uk,,02073203581,Professor,Lynn,Dobbs,Vice-Chancellor and Chief Executive,London
133817,878,Devon,,University of Exeter,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Northcote House,The Queen's Drive,,Exeter,Devon,EX4 4QJ,https://www.exeter.ac.uk/,,01392263263,Professor Sir,Steve,Smith,Vice-Chancellor and Chief Executive,South West
133818,916,Gloucestershire,,University of Gloucestershire,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,The Park,The Park Campus,,Cheltenham,Gloucestershire,GL50 2RH,https://www.glos.ac.uk,,01242714700,Mr,Stephen,Marston,Vice-Chancellor,South West
133819,916,Gloucestershire,,Royal Agricultural University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,,,,Cirencester,Gloucestershire,GL7 6JS,https://www.rau.ac.uk,,01285652531,Professor,Joanna,Price,Vice Chancellor,South West
133820,936,Surrey,,University of Surrey,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Stag Hill,,,Guildford,Surrey,GU2 7XH,https://www.surrey.ac.uk,,01483300800,Professor,Max,Lu,President and Vice-Chancellor,South East
133821,936,Surrey,,University for the Creative Arts,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Falkner Road,,,Farnham,Surrey,GU9 7DS,https://www.uca.ac.uk,,01252722441,Professor,Bashir,Makhoul,Vice-Chancellor,South East
133822,382,Kirklees,,University of Huddersfield,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Lockside,Queensgate,,Huddersfield,West Yorkshire,HD1 3DH,https://www.hud.ac.uk,,01484422288,Professor,Bob,Cryan,Vice Chancellor,Yorkshire and the Humber
133823,825,Buckinghamshire,,Buckinghamshire New University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Queen Alexandra Road,,,High Wycombe,Buckinghamshire,HP11 2JZ,https://www.bucks.ac.uk,,01494522141,Professor,Nick,Braisby,Vice-Chancellor,South East
133824,810,"Kingston upon Hull, City of",,University of Hull,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Cottingham Road,,,Kingston-upon-Hull,,HU6 7RX,https://www.hull.ac.uk,,01482346311,Professor,Susan,Lea,Vice-Chancellor,Yorkshire and the Humber
133825,314,Kingston upon Thames,,Kingston University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,River House,53 - 57 High Street,Surbiton Road,Kingston upon Thames,Surrey,KT1 1LQ,https://www.kingston.ac.uk,,02084179000,Professor,Steven,Spier,Vice Chancellor,London
133826,341,Liverpool,,Liverpool Hope University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Hope Park,,,Liverpool,Merseyside,L16 9JD,https://www.hope.ac.uk,,01512913000,Professor,Gerald,Pillay,Vice Chancellor and Rector,North West
133827,341,Liverpool,,Liverpool John Moores University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Egerton Court,2 Rodney Street,,Liverpool,Merseyside,L3 5UX,https://www.ljmu.ac.uk,,01512313519,Mr,Mark,Power,Vice-Chancellor and Chief Executive,North West
133828,888,Lancashire,,Edge Hill University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,St Helen's Road,,,Ormskirk,Lancashire,L39 4QP,https://www.edgehill.ac.uk,,01695575171,Dr,John,Cater,Vice-Chancellor,North West
133829,341,Liverpool,,University of Liverpool,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,The Foundation Building,765 Brownlow Hill,Abercromby Square,Liverpool,Merseyside,L69 7ZX,https://www.liverpool.ac.uk,,01517942000,Professor,Janet,Beer,Vice-Chancellor,North West
133831,888,Lancashire,,University of Lancaster,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,University House,Bailrigg,,Lancaster,Lancashire,LA1 4YW,https://www.lancaster.ac.uk,,0152465201,Professor,Steven,Bradley,Principal,North West
133832,856,Leicester,,University of Leicester,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,University Road,,,Leicester,Leicestershire,LE1 7RH,https://WWW.LE.AC.UK,yak1@leicester.ac.uk,01162522522,Professor,Nishan,Canagarajah,Principal,East Midlands
133833,856,Leicester,,De Montfort University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,The Gateway,,,Leicester,Leicestershire,LE1 9BH,https://www.dmu.ac.uk,,01162551551,Professor,Katie,Normington,Acting Vice-Chancellor,East Midlands
133834,855,Leicestershire,,Loughborough University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Ashby Road,,,Loughborough,Leicestershire,LE11 3TU,https://www.lboro.ac.uk,,01509263171,Professor,Nick,Jennings,Vice Chancellor and President,East Midlands
133835,925,Lincolnshire,,Bishop Grosseteste University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Newport,,,Lincoln,Lincolnshire,LN1 3DY,https://www.bishopg.ac.uk,,01522527347,Professor,Peter,Neil,Vice-Chancellor,East Midlands
133836,925,Lincolnshire,,University of Lincoln,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Vice Chancellors Office,Brayford Pool,,Lincoln,Lincolnshire,LN6 7TS,https://www.lincoln.ac.uk,,01522882000,Professor,Mary,Stuart,Vice-Chancellor,East Midlands
133837,383,Leeds,,Leeds Beckett University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,City Campus,Calverley Street,,Leeds,West Yorkshire,LS6 3QS,https://www.leedsbeckett.ac.uk,,01138120000,Professor,Peter,Slee,Vice-Chancellor,Yorkshire and the Humber
133838,383,Leeds,,Leeds Trinity University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Brownberrie Lane,,Horsforth,Leeds,West Yorkshire,LS18 5HD,https://www.leedstrinity.ac.uk,,01132837100,Professor,Margaret,House,Vice-Chancellor,Yorkshire and the Humber
133839,383,Leeds,,University of Leeds,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,The University,,,Leeds,West Yorkshire,LS2 9JT,https://www.leeds.ac.uk,,01132431751,Sir,Alan,Langlands,Vice-Chancellor,Yorkshire and the Humber
133841,821,Luton,,University of Bedfordshire,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Park Square,,,Luton,Bedfordshire,LU1 3JU,https://www.beds.ac.uk,,01582734111,Mr,Bill,Rammell,Vice-Chancellor,East of England
133842,352,Manchester,,University of Manchester,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Oxford Road,,,Manchester,,M13 9PL,https://www.manchester.ac.uk,,01612752000,Professor,Nancy,Rothwell,President and Vice-Chancellor,North West
133843,352,Manchester,,Royal Northern College of Music,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,124 Oxford Road,,,Manchester,,M13 9RD,https://www.rncm.ac.uk,,01612736283,Professor,Linda,Merrick,Principal,North West
133844,352,Manchester,,The Manchester Metropolitan University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,All Saints Building,Oxford Road,,Manchester,,M15 6BH,http://www2.mmu.ac.uk/,john.brooks@mmu.ac.uk,01612472000,Professor,Malcolm,Press,Vice-Chancellor,North West
133845,355,Salford,,University of Salford,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,The Old Fire Station,,,Salford,Greater Manchester,M5 4WT,https://www.salford.ac.uk,,01612955000,Professor,Helen,Marshall,Vice Chancellor,North West
133848,823,Central Bedfordshire,,Cranfield University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Stafford Cripps Building No 41,,,Cranfield,Bedfordshire,MK43 0AL,https://www.cranfield.ac.uk,,01234750111,Professor Sir,Peter,Gregson,Vice-Chancellor,East of England
133849,826,Milton Keynes,,The Open University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Walton Hall,,,Milton Keynes,Buckinghamshire,MK7 6AA,https://www.open.ac.uk,,01908274066,Professor,Tim,Blackman,Vice-chancellor,South East
133850,308,Enfield,,Middlesex University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Bramley Road,Trent Park,Oakwood,London,,N14 4YZ,https://www.mdx.ac.uk/,,02083625000,Mr,James,Kennedy,Principal,London
133852,391,Newcastle upon Tyne,,University of Newcastle Upon Tyne,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,6 Kensington Terrace,,,Newcastle-upon-Tyne,Tyne and Wear,NE1 7RU,https://www.ncl.ac.uk,,01912226000,Professor,Chris,Day,Vice-Chancellor,North East
133853,926,Norfolk,,University of East Anglia,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,The Registry,University Plain,,Norwich,Norfolk,NR4 7TJ,https://www.uea.ac.uk,,01603456161,Professor,David,Richardson,Vice Chancellor,East of England
133854,391,Newcastle upon Tyne,,University of Northumbria At Newcastle,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Ellison Building,Ellison Place,,Newcastle-upon-Tyne,Tyne and Wear,NE1 8ST,https://www.northumbria.ac.uk,,01912326002,Professor,Andrew,Wathey,Vice-Chancellor and Chief Executive,North East
133855,891,Nottinghamshire,,The Nottingham Trent University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Burton Street,,,Nottingham,Nottinghamshire,NG1 4BU,https://www.ntu.ac.uk,,01159418418,Professor,Edward,Peck,Vice-Chancellor,East Midlands
133856,891,Nottinghamshire,,University of Nottingham,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,University Park,,,Nottingham,Nottinghamshire,NG7 2RD,https://www.nottingham.ac.uk,,01159515151,Professor,Shearer,West,Vice-Chancellor,East Midlands
133857,941,West Northamptonshire,,University of Northampton,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Park Campus,Boughton Green Road,,Northampton,Northamptonshire,NN2 7AL,https://www.northampton.ac.uk,elaine.batchelor@northampton.ac.uk,01604735500,Professor,Nick,Petford,Vice Chancellor,East Midlands
133858,926,Norfolk,,Norwich University of the Arts,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Francis House,3 - 7 Redwell Street,,Norwich,Norfolk,NR2 4SN,https://www.nua.ac.uk/,,01603610561,Professor,John,Last,Vice-Chancellor,East of England
133859,202,Camden,,The Royal Veterinary College,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Royal College Street,,,London,,NW1 0TU,https://www.rvc.ac.uk,,02074685000,Professor,Stuart,Reid,Principal,London
133860,213,Westminster,,London Business School,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Sussex Place,Regent's Park,,London,,NW1 4SA,https://www.london.edu,,02072625050,Dr,François,Ortalo-Magné,Dean,London
133861,213,Westminster,,Royal Academy of Music,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Marylebone Road,,,London,,NW1 5HT,https://www.ram.ac.uk,,02078737373,Professor,Jonathan,Freeman-Attwood,Principal,London
133862,202,Camden,,Central School of Speech and Drama,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,64 Eton Avenue,Swiss Cottage,,London,,NW3 3HY,https://www.cssd.ac.uk,,02077228183,Professor,Gavin,Henderson,Principal,London
133863,931,Oxfordshire,,University of Oxford,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,University Offices,Wellington Square,,Oxford,Oxfordshire,OX1 2JD,http://www.ox.ac.uk,,01865270000,Professor,Louise,Richardson,Vice-Chancellor,South East
133864,931,Oxfordshire,,Oxford Brookes University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Headington Campus,Gipsy Lane,Headington,Oxford,Oxfordshire,OX3 0BP,https://www.brookes.ac.uk,,01865741111,Professor,Alistair,Fitt,Vice-Chancellor,South East
133865,879,Plymouth,,University of Plymouth,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Drake Circus,,,Plymouth,Devon,PL4 8AA,https://www.plymouth.ac.uk,,01752600600,Professor,Judith,Petts,Vice-Chancellor,South West
133866,879,Plymouth,,College of St Mark & St John,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Derriford Road,,,Plymouth,Devon,PL6 8BH,https://www.marjon.ac.uk,,01752777188,Professor,Rob,Warner,Vice-Chancellor and Chief Executive,South West
133867,851,Portsmouth,,University of Portsmouth,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,University House,Winston Churchill Avenue,,Portsmouth,Hampshire,PO1 2UP,https://www.port.ac.uk,,02392848484,Professor,Graham,Galbraith,Vice Chancellor,South East
133868,938,West Sussex,,University of Chichester,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Bishop Otter College,College Lane,,Chichester,West Sussex,PO19 6PE,https://www.chi.ac.uk,,01243816000,Professor,Jane,Longmore,Vice-Chancellor,South East
133869,888,Lancashire,,University of Central Lancashire,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Adelphi Building,,,Preston,Lancashire,PR1 2HE,https://www.uclan.ac.uk,,01772201201,Professor,Graham,Baldwin,Principal,North West
133870,872,Wokingham,,University of Reading,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Whiteknights House,Whiteknights,,Reading,Berkshire,RG6 6UR,https://www.reading.ac.uk,,01189875123,Professor,Robert,Van de Noort,Vice Chancellor,South East
133871,373,Sheffield,,Sheffield Hallam University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,City Campus,Pond Street,,Sheffield,South Yorkshire,S1 1WB,https://www.shu.ac.uk,,01142252051,Professor,Chris,Husbands,Vice-Chancellor,Yorkshire and the Humber
133872,373,Sheffield,,University of Sheffield,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Western Bank,,,Sheffield,South Yorkshire,S10 2TN,https://www.sheffield.ac.uk/,,01142222000,Professor,Koen,Lamberts,President and Vice-Chancellor,Yorkshire and the Humber
133873,210,Southwark,,London South Bank University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,103 Borough Road,,,London,,SE1 0AA,https://www.lsbu.ac.uk,,02079288989,Professor,David,Phoenix,Vice Chancellor and Chief Executive,London
133874,208,Lambeth,,King's College London,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,James Clark Maxwell Building,57 Waterloo Road,,London,,SE1 8WA,https://www.kcl.ac.uk/,,02078365454,Professor,Edward,Byrne,Principal and President,London
133875,203,Greenwich,,Trinity Laban,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Laban,Creekside,Greenwich,Deptford,,SE8 3DZ,https://www.trinitylaban.ac.uk,,02083054444,Professor,Anthony,Bowne,Principal and Accountable Officer,London
133876,203,Greenwich,,University of Greenwich,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Maritime Greenwich Campus,Old Royal Naval College,,London,,SE10 9LS,https://www.gre.ac.uk/,,02083318000,Professor,David,Maguire,Vice-Chancellor,London
133877,209,Lewisham,,"Goldsmiths College, University of London",Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,New Cross,,,London,,SE14 6NW,https://www.gold.ac.uk,,02079197171,Professor,Frances,Corner,Warden,London
133878,852,Southampton,,Southampton Solent University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,East Park Terrace,,,Southampton,Hampshire,SO14 0YN,https://www.solent.ac.uk,,02380319000,Professor,Julie,Hall,Interim Accountable Officer,South East
133879,852,Southampton,,University of Southampton,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Highfield,,,Southampton,Hampshire,SO17 1BJ,https://www.southampton.ac.uk,,02380595000,Professor,Mark,Smith,Vice-Chancellor,South East
133880,850,Hampshire,,University of Winchester,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Sparkford Road,,,Winchester,Hampshire,SO22 4NR,https://www.winchester.ac.uk,,01962841515,Professor,Joy,Carter,Vice-Chancellor,South East
133881,394,Sunderland,,University of Sunderland,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,"4th Floor, Edinburgh Building","City Campus, Chester Road",,Sunderland,Tyne and Wear,SR1 3SD,https://www.sunderland.ac.uk,,01915152000,Sir,David,Bell,Vice-Chancellor and Chief Executive,North East
133882,860,Staffordshire,,Staffordshire University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,College Road,,,Stoke-on-Trent,,ST4 2DE,https://www.staffs.ac.uk,enquiries@staffs.ac.uk,01782294000,Professor,Martin,Jones,Vice-Chancellor,West Midlands
133883,860,Staffordshire,,University of Keele,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,,,,Keele,Staffordshire,ST5 5BG,https://www.keele.ac.uk/,,01782621111,Professor,Trevor,McMillan,Vice-Chancellor,West Midlands
